id,created_at,name,native_name
1,2025-02-13 05:07:15.83251+00,Abkhaz,аҧсуа
2,2025-02-13 05:07:15.83251+00,Afar,Afaraf
3,2025-02-13 05:07:15.83251+00,Afrikaans,Afrikaans
4,2025-02-13 05:07:15.83251+00,Akan,Akan
5,2025-02-13 05:07:15.83251+00,Albanian,Shqip
6,2025-02-13 05:07:15.83251+00,Amharic,አማርኛ
7,2025-02-13 05:07:15.83251+00,Arabic,العربية
8,2025-02-13 05:07:15.83251+00,Aragonese,Aragonés
9,2025-02-13 05:07:15.83251+00,Armenian,Հայերեն
10,2025-02-13 05:07:15.83251+00,Assamese,অসমীয়া
11,2025-02-13 05:07:15.83251+00,Avaric,"авар мацӀ, магӀарул мацӀ"
12,2025-02-13 05:07:15.83251+00,Avestan,avesta
13,2025-02-13 05:07:15.83251+00,Aymara,aymar aru
14,2025-02-13 05:07:15.83251+00,Azerbaijani,azərbaycan dili
15,2025-02-13 05:07:15.83251+00,Bambara,bamanankan
16,2025-02-13 05:07:15.83251+00,Bashkir,башҡорт теле
17,2025-02-13 05:07:15.83251+00,Basque,"euskara, euskera"
18,2025-02-13 05:07:15.83251+00,Belarusian,Беларуская
19,2025-02-13 05:07:15.83251+00,Bengali,বাংলা
20,2025-02-13 05:07:15.83251+00,Bihari,भोजपुरी
21,2025-02-13 05:07:15.83251+00,Bislama,Bislama
22,2025-02-13 05:07:15.83251+00,Bosnian,bosanski jezik
23,2025-02-13 05:07:15.83251+00,Breton,brezhoneg
24,2025-02-13 05:07:15.83251+00,Bulgarian,български език
25,2025-02-13 05:07:15.83251+00,Burmese,ဗမာစာ
26,2025-02-13 05:07:15.83251+00,Catalan,Català
27,2025-02-13 05:07:15.83251+00,Chamorro,Chamoru
28,2025-02-13 05:07:15.83251+00,Chechen,нохчийн мотт
29,2025-02-13 05:07:15.83251+00,Chichewa,"chiCheŵa, chinyanja"
30,2025-02-13 05:07:15.83251+00,Chinese,"中文 (Zhōngwén), 汉语, 漢語"
31,2025-02-13 05:07:15.83251+00,Chuvash,чӑваш чӗлхи
32,2025-02-13 05:07:15.83251+00,Cornish,Kernewek
33,2025-02-13 05:07:15.83251+00,Corsican,"corsu, lingua corsa"
34,2025-02-13 05:07:15.83251+00,Cree,ᓀᐦᐃᔭᐍᐏᐣ
35,2025-02-13 05:07:15.83251+00,Croatian,hrvatski
