id,country,city,title,logo,region,location
697,United States,Cambridge,Harvard University,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,North America,0101000020E6100000B0928FDD05C751C08236397CD22F4540
698,United States,Stanford,Stanford University,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,North America,0101000020E61000006688635DDC8A5EC037E15E99B7B64240
699,United States,Cambridge,Massachusetts Institute of Technology (MIT),https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,North America,0101000020E6100000D925AAB706C651C0BE4A3E76172E4540
700,United States,Berkeley,University of California, Berkeley (UCB)",https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,North America,0101000020E6100000DC2BF3565D905EC003D2FE0758EF4240
701,United States,Los Angeles,University of California, Los Angeles (UCLA)",https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,North America,0101000020E61000003DF372D87D9C5DC0FA804067D2084140
702,United States,New Haven,Yale University,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,North America,0101000020E6100000744694F6063B52C0C6DCB5847CA84440
703,United States,New York City,Columbia University,https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-48x48.jpg,North America,0101000020E6100000CFC0C8CB9A7D52C0DC2BF3565D674440
704,United States,Princeton,Princeton University,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,North America,0101000020E6100000041BD7BFEBA952C0268FA7E5072C4440
705,United States,New York City,New York University (NYU),https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg,North America,0101000020E61000001FF64201DB7B52C0B610E4A0845D4440
706,United States,Philadelphia,University of Pennsylvania,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,North America,0101000020E61000001AA54BFF92CA52C0DFDC5F3DEEF94340
707,United States,Chicago,University of Chicago,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,North America,0101000020E6100000469737876BE655C0F9F4D89601E54440
